Chicx fiesta,Calificación
1,1
2,1.481326109
3,1.790488342
4,2.117607653
5,2.271540816
6,2.309982929
7,2.775952518
8,2.982736805
9,3.306900843
10,3.391940379
11,3.438416077
12,3.545886345
13,3.592880755
14,3.658725522
15,3.710508432
16,3.712970494
17,3.830241131
18,3.988300049
19,4.003753571
20,4.092980084
21,4.158634233
22,4.189681344
23,4.234773478
24,4.272308981
25,4.311144567
26,4.39155949
27,4.468181068
28,4.582469249
29,4.596364916
30,4.621442517
31,4.680407292
32,4.705679139
33,4.773459994
34,4.860980527
35,4.978742271
36,4.984436256
37,5.008004832
38,5.071021299
39,5.12406678
40,5.194290624
41,5.247134246
42,5.29557169
43,5.368519209
44,5.377195177
45,5.385192038
46,5.387485568
47,5.420524693
48,5.421865156
49,5.464515517
50,5.484299014
51,5.549550582
52,5.550392025
53,5.573530578
54,5.576419248
55,5.624207711
56,5.637485714
57,5.658220942
58,5.672742686
59,5.72372216
60,5.805065455
61,5.811200571
62,5.826064226
63,5.884675048
64,5.916396646
65,5.938332082
66,5.938557629
67,5.979175695
68,6.057025321
69,6.129493064
70,6.152838502
71,6.17719051
72,6.234501765
73,6.337707967
74,6.391077373
75,6.403847347
76,6.409120147
77,6.445650547
78,6.517635134
79,6.585885038
80,6.604187426
81,6.681217193
82,6.742923641
83,6.765095029
84,6.808269765
85,6.961124764
86,7.008917181
87,7.06271856
88,7.127709982
89,7.288744524
90,7.319724533
91,7.541348958
92,7.596462433
93,7.654902931
94,7.755596039
95,7.807285132
96,8.068952212
97,8.266068308
98,8.742423811
99,8.814120313
100,9.927855812
